,len=50,len=100,len=200,len=300,len=500,len=1000
LSTM,0.5674999952316284,0.5817187428474426,0.5774218440055847,0.5677083730697632,0.5678437948226929,0.563953161239624
Transformer,0.8440625071525574,0.8565624952316284,0.8622655868530273,0.8660937547683716,0.866156280040741,0.8692656755447388
Mamba++,0.9940624833106995,0.9939061999320984,0.992968738079071,0.9923958778381348,0.9921875596046448,0.9928125739097595
